Name	Set	Imagefile	Type	Level	Logo	Rarity	Text
Ambassador Carrague	FR	088	Wizard	7	FR	Uncommon	Use Ambassador Carrague only in defensive combat. When he needs a card, play the top card from the draw pile, if legal, discarding it if not. Once three cards total have been discarded, draw no more for the combat round.
Helm	FR	089	Hero	6	FR	Uncommon	Casts cleric and wizard spells. If discarded from the pool, cancels one event, even if the event does not affect this player.
Simbul of Aglarond	FR	090	Wizard	8	FR	Rare	Simbul gains +4 levels when battling Maligor the Red or Red Wizards.
Vangerdahast	FR	091	Wizard	6	FR	Common	When Vangerdahast is played in defense of a realm, the player may immediately look at the attacker's hand.
Cyric	FR	092	Hero	9	FR	Rare	Cyric can cast wizard and priest spells. All cards in his player's pool may be turned face down when Cyric is in play. Champions and their items must combat face up, however.
Dragonbait	FR	093	Hero	4	FR	Common	Once during each defensive battle, if he does not participate, Dragonbait may save any one defeated champion or ally of level 4 or lower from being discarded.
"Khelben ""Blackstaff"" Arunsun"	FR	094	Wizard	8	FR	Common	Blackstaff gains +4 levels when defending Waterdeep.
Ochimo	FR	095	Hero	4	FR	Common	Ochimo gains +4 levels when defending Kozakura. He must be defeated twice in a row before being discarded.
Prince Tristan	FR	096	Hero	6	FR	Common	Prince Tristan gains +5 levels against giants, and when defending the Moonshaes.
Princess Alusair	FR	097	Hero	4	FR	Common	Princess Alusair can use any Forgotten Realms champion (level only) from any pool as an ally when defending. If victorious, that champion returns to its pool after the combat round.
Randal Morn	FR	098	Hero	4	FR	Common	All of this player's allies gain +1 level when Randal is in play.
Time of Troubles	FR	099	Rule		FR	Uncommon	Played at the beginning of the player's turn, this card is not discarded. It affects all players and remains in effect until any other rule card is played. No champion of level 7 or greater (before magical items, artifacts, events, and other modifiers) may be involved in combat. All Forgotten Realms champions and allies gain +1 level.
Tablets of Fate	FR	100	Rule		FR	Rare	Played at the beginning of the player's turn, this card is not discarded. It affects all players and remains in effect until any other rule card is played. Only Forgotten Realms champions, realms, holdings, and artifacts retain any powers of immunity. No other may have immunity to anything while this card is in play.
Thrice Hearty Cup of Balder the Red	FRSP	001	Cleric Spell		AD&D	Special	Cast on a hero, the champion automatically wins its next battle. (Def/3)
Cold Cup of Calamity	FRSP	002	Event		AD&D	Special	This player may examine one other player's hand and discard it down to 5 cards.
Vessel of Vaporous Stones	FRSP	003	Event		AD&D	Special	Until the end of this player's next turn, the lowest total wins all battles. Allies (but not spells or other cards) are subtracted from the total in battle.
Mug of the Earthbound	FRSP	004	Wizard Spell		AD&D	Special	Flying champions are grounded and unable to fly for the duration of this combat. Opposing flyer loses 2 levels. (Off/3/4)
Hawksflight Grail	FRSP	005	Artifact		FR	Special	Another champion from this player's pool can be brought into the combat (add their levels). If either is forcibly discarded, the other keeps all magic items and one artifact, and continues the combat.
Vessel of Misty Passage	FRSP	006	Event		AD&D	Special	This vessel allows the players to attack any realm via a secret passage. The passage lasts until the end of this player's turn.
Teapot of the Golden Tempest	FRSP	007	Magic Item		AD&D	Special	Once during combat, the player can switch hands with his opponent. At the end of combat, switch the hands back. All draws and discards use the original owner's piles. (Off)
Ebony Cup of Fate	FRSP	008	Artifact		FR	Special	The player may examine his opponent's hand. If it contains an artifact, the player automatically loses the battle. If it contains no artifacts, he automatically wins the battle.
Hero's Chalice	FRSP	009	Magic Item	10	AD&D	Special	Usable only by heroes, the attached champion gains 10 levels when defending, but only 5 when attacking.
The Day That Will Live in Infamy	FRSP	010	Event		AD&D	Special	The gods of revenge are in ascendance! Discard all wizards in battle or in pools.
Unusually Good Fortune	FRSP	011	Event		AD&D	Special	Played on another player's event card, this player draws 3 cards. If played upon 'Good Fortune', this player draws 5 cards and the other player draws none.
The Apple of His Eye	FRSP	012	Event		AD&D	Special	Only one type of champion, chosen by this player, can attack or defend until the end of this player's next turn.
The Golden Touch	FRSP	013	Wizard Spell		AD&D	Special	For this player's turn, all magical items in his pool or played in battle gain 2 levels. (Def/3/4)
Feather Flight	FRSP	014	Wizard Spell		AD&D	Special	If defeated, this champion and his allies fly back to their pool. His allies remain with him until their next battle. (Def/4)
Golden Barter	FRSP	015	Wizard Spell		AD&D	Special	For each magical item discarded from his pool, the player can draw one card. (Def/3/4)
Dagger of Deception	FRSP	016	Magic Item		AD&D	Special	If an opponent wants to play a card in combat, this player draws it randomly. Noncombat cards are returned to the player's hand after being revealed. (Off)
Wyrm of Earthwalking	FRSP	017	Magic Item	5	AD&D	Special	The attached champion and all allies have the earthwalking ability, allowing them to attack any realm. (Def)
Bell of Might	FRSP	018	Magic Item		AD&D	Special	This item can duplicate another player's event card for this player. (This player's use is secondary.) The bell cannot be used again until this player's next turn. (Def)
Muragh Brilstagg	FRSP	019	Ally	6	AD&D	Special	Undead. This magical skull subtracts 2 levels from all cards played against its champion. But it may not be played with any other allies.
Phase Door	FRSP	020	Wizard Spell	7	AD&D	Special	Negates any wall spell.
Wine of Eternity	FRSP	021	Event		AD&D	Special	Puts one champion to sleep. At the beginning of his turn, the player may draw and discard a card. If the card's last digit matches the champion's unadjusted level, he awakens.
Spellblades	FRSP	022	Magic Item	5	AD&D	Special	Usable only be heroes and monsters. User is immune to the first two offensive spells cast in any combat.
Netheril	FRSP	023	Realm	7	FR	Special	Wizards, magic items, artifacts, and wizard spells used in defense of this realm are doubled in level. Netheril can defend itself as a level 7 wizard.
The Lure of Undermountain	FRSP	024	Rule		FR	Special	Played at the beginning of the player's turn, this card is not discarded. It affects all players and remains in effect until any other rule card is played. Every time a Forgotten Realms monster champion is discarded, its owner may force another player to one nonmonster champion of any world, from that player's hand to be discarded.
Zhentarim Intrigue	FRSP	025	Rule		FR	Special	Played at the beginning of the player's turn, this card is not discarded. It affects all players and remains in effect until any other rule card is played. Whenever a player's Forgotten Realms realm is razed, he may draw a card and add it to his hand.
Wand of Orcus	AR	001	Artifact	9	AD&D	Rare	This Wand can be attached to any undead monster champion. When the Wand is used in battle against an opposing champion of level 8 or less, the opponent is instantly slain (discarded). Limit one per deck.
Axe of the Dwarvish Lords	AR	002	Artifact	3	AD&D	Common	The Axe can be attached to any champion. In addition to the listed bonus, the Axe also gives the attached champion a +8 ally in combat.
Iron Flask of Tuerny the Merciless	AR	003	Artifact		GH	Uncommon	The Flask gives the attached champion a +6 tanar'ri ally that can earthwalk and cast wizard spells. If the artifact is discarded, the attached champion is also discarded.
Jacinth of Inestimable Beauty	AR	004	Artifact		GH	Uncommon	In combat, one enemy ally (chosen by this player) is forced to switch sides. The level of all friendly allies are doubled.
Machine of Lum the Mad	AR	005	Artifact	8	GH	Rare	The attached champion can cast any spell, but only in defense, it can never attack. The champion uses the last digit of his card number as his level.
Queen Ehlissa's Marvelous Nightingale	AR	006	Artifact		GH	Common	When the attached champion enters combat, the player can choose to prevent the opposing champion from playing allies or spells.
Sword of Kas	AR	007	Artifact	8	GH	Uncommon	The base level of an opposing champion is halved (round up). This artifact does not function when used against a champion with the Eye and Hand of Vecna.
Talisman of Al'Akbar	AR	008	Artifact		GH	Common	This artifact can be attached to a champion with the Cup of Al'Akbar. The attached champion can dispel one spell while involved in a round of battle. Monsters cannot use this Talisman.
Teeth of Dalhvar-Nar	AR	009	Artifact		GH	Uncommon	The attached champion is a flyer and is immune to offensive spells. If the champion wins a round of battle, an opposing holding is immediately discarded.
All-Knowing Eye of Yasmin Sira	AR	010	Artifact		FR	Rare	The attached champion is immune to offensive spells and once per battle can cast a +5 spell (Def/4). Once per turn, the player can examine one opponent's hand.
Coin of Jisan the Bountiful	AR	011	Artifact		FR	Common	The champion can negate either the power or level (but not both) of each magical item and artifact used against him in combat.
Seal of Lost Arak	AR	012	Artifact		RL	Rare	Once per turn, the player can flip the top card of any other player's draw deck. He can use it only if it is a spell or ally that is legal for that step. The card is reshuffled into the player's draw deck.
Crystal of the Ebon Flame	AR	013	Artifact	2	RL	Common	Attached champion becomes undead. The opposing champion's base level is considered to be a zero, unless it is a cleric or undead. Opposing undead allies switch sides.
Obsidian Man of Urik	AR	014	Artifact	6	DS	Rare	If the attached champion is discarded, the artifact returns to the player's pool as a monster. Instead of attaching this artifact to a champion, the player can play the Obsidian Man as a monster.
Rod of Teeth	AR	015	Artifact	2	DS	Uncommon	An opposing wizard cannot cast spells. Before battle, the player can discard the attached champion and examine all other players' hands, discarding any spell cards.
Midnight's Mask of Disguise	AR	016	Magic Item	2	AD&D	Common	A champion can be played into the player's pool with this magical item, even if the champion is already in play somewhere. The champion's powers are unchanged. (Def)
Girdle of Storm Giant Strength	AR	017	Magic Item	7	AD&D	Common	(Off)
Hammer of Thunderbolts	AR	018	Magic Item	5	AD&D	Rare	Can only be attached to a champion who carries gauntlets of ogre power or a girdle of storm giant strength. The first ally used against the attached champion is discarded. (Off)
Gauntlets of Ogre Power	AR	019	Magic Item	6	AD&D	Rare	Champion breaks down walls, allowing him to ignore all such cards. Can be played on a champion even after combat is ended by a wall spell. Combat must continue. (Off)
Winged Boots	AR	020	Magic Item	2	AD&D	Common	The attached champion becomes a flyer. If he is defeated in battle against a non-flying champion, he can retreat from combat back to his pool. (Def)
Rod of 7 Parts, Part 1	AR	021	Magic Item	1	AD&D	Uncommon	Champion is a swimmer. If combined with any other parts of the rod, the rod counts as an artifact and gains an additional +1 for each part. (Off)
Rod of 7 Parts, Part 2	AR	022	Magic Item	2	AD&D	Rare	Champion is immune to events. If combined with any other parts of the rod, the rod counts as an artifact and gains an additional +1 for each part. (Off)
Rod of 7 Parts, Part 3	AR	023	Magic Item	3	AD&D	Uncommon	Champion is immune to offensive magical items. If combined with any other parts of the rod, the rod counts as an artifact and gains an additional +1 for each part. (Off)
Rod of 7 Parts, Part 4	AR	024	Magic item	4	AD&D	Rare	Flyers cannot be played against the attached champion. If combined with any other parts of the rod, the rod counts as an artifact and gains an additional +1 for each part. (Off)
Rod of 7 Parts, Part 5	AR	025	Magic Item	5	AD&D	Uncommon	At the beginning of his turn, this item's owner can examine an opponent's hand. If combined with any other parts of the rod, the rod counts as an artifact and gains an additional +1 for each part. (Off)
Rod of 7 Parts, Part 6	AR	026	Magic Item	6	AD&D	Rare	The attached champion becomes an earthwalker. If combined with any other parts of the rod, the rod counts as an artifact and gains an additional +1 for each part. (Off)
Rod of 7 Parts, Part 7	AR	027	Magic Item	7	AD&D	Uncommon	The champion can ignore one card played against him in combat. If combined with any other parts of the rod, the rod counts as an artifact and gains an additional +1 per part. (Off)
Bag of Holding	AR	028	Magic Item	1	AD&D	Common	Once per turn the player may discard one card from his pool or his hand, and then draw one card from his draw pile. (Def)
Daern's Instant Fortress	AR	029	Magic Item	5	AD&D	Rare	The Fortress can be played as a magical item or as a holding. The realm or champion is immune to events and offensive spells during other player's turns. (Def)
Spellbook	AR	030	Magic Item		AD&D	Rare	The spellcaster with this item can retain up to two spells after winning a round of combat to use in another battle. Only step 4 spells can be saved. (Def)
Plentiful Psionics	AR	031	Rule		DS	Rare	Played at the beginning of the player's turn, this card is not discarded. It affects all players and remains in effect until any other rule card is played. All champions are able to read minds and predict the future. Each player's hand is divided: all Dark Sun cards are concealed, but all other cards are revealed by placing them face up on the table. The face-up cards are still part of the hand until played.
Sorcerer-Kings	AR	032	Rule		DS	Common	Played at the beginning of the player's turn, this card is not discarded. It affects all players and remains in effect until any other rule card is played. Each Dark Sun realm can be defended once per battle by a sorcerer-king who is a monster that can cast any spell. The sorcerer-king's level is equal to the number of Dark Sun realms and holdings the defender has in play. If the realm already has a defender (on the card), add that defender's level to the sorcerer-king's. If the sorcerer-king is defeated, the realm is razed.
Dark Lords	AR	033	Rule		RL	Common	Played at the beginning of the player's turn, this card is not discarded. It affects all players and remains in effect until any other rule card is played. If any Ravenloft champion or undead champion of any world is defeated in battle, that champion returns to the player's pool at hte end of that player's next turn.
The Walking Dead	AR	034	Rule		RL	Uncommon	Played at the beginning of the player's turn, this card is not discarded. It affects all players and remains in effect until any other rule card is played. Undead champions and Ravenloft monsters can attack razed realms. Allies need not be undead. If a razed realm is defeated, it is discarded and the attacker again draws spoils of victory.
Artifact Vault	AR	035	Rule		GH	Rare	The player can choose to place any Greyhawk Artifacts face-down in a pile called the Artifact Vault. In step 3 of the turn, when cards are played in the pool, the player can distribute the Greyhawk artifacts among his Greyhawk champions in the pool. At the end of his turn, the player returns all Greyhawk artifacts to the artifact vault. Cards in the vault are in play, but are not active and cannot be used. Greyhawk artifacts cannot be discarded by any means so long as this rule card is in play, if a champin is discarded, or if any card calls for a Greyhawk artifact to be discarded, it returns to the player's Artifact Vault.
Artifact Champions	AR	036	Rule		GH	Uncommon	Played at the beginning of the player's turn, this card is not discarded. It affects all players and remains in effect until any other rule card is played. Greyhawk Artifacts with numerical bonuses can be played as champions. Artifact-champions are not considered monsters, wizards, clerics or heroes. Any abilitiy normally given by the artifact to a champion is possessed by the artifact-champion.
Isolated Worlds	AR	037	Rule		DS	Common	Played at the beginning of the player's turn, this card is not discarded. It affects all players and remains in effect until any other rule card is played. Dark Sun cards (champions, artifacts, realms) are immune to the Rule of the Cosmos. If this rule card is discarded, the owner of the card chooses which cards are discarded to enforce the rule of the cosmos again.
No Funny Business	AR	038	Rule		AD&D	Rare	Played at the beginning of the player's turn, this card is not discarded. It affects all players and remains in effect until any other rule card is played. No events can be played. All events currently in play are immediately discarded when this rule card is played. In addition, no more than one magical item can be attached to any champion. Extras are discarded when this rule card is played (player's choice). In battle, no more than one of each type of each card (ally, magical item, artifact, wizard spell, and cleric spell) can be attached to each champion.
Forbidden Lore	AR	039	Rule		RL	Common	Played at the beginning of the player's turn, this card is not discarded. It affects all players and remains in effect until any other rule card is played. Only Ravenloft champions may cast offensive wizard spells.
Cosmic Justice	AR	040	Rule		AD&D	Rare	Played at the beginning of the player's turn, this card is not discarded. It affects all players and remains in effect until any other rule card is played. All realms that have no special powers can borrow the powers of one realm in play, but only when attacked. All champions that have no special powers can steal the power of the opposing champion in combat. The opponent loses his power. All allies that have no special powers are unaffected by the special powers of champions and allies.
Roc	AR	041	Ally	8	AD&D	Common	Flyer. Flying allies cannot be played against the roc. The opponent must discard any already in play.
Kinsle the Druid	AR	042	Ally	4	AD&D	Common	Flyer. In battle, Kinsle can cast cleric spells to aid the attached champion.
Dragonbane	AR	043	Cleric Spell	2	AD&D	Common	Any dragon champion is automatically defeated, but returns unharmed to the player's pool. Dragon and draconian allies are discarded. (Off/4)
The Ship of the Sky	AR	044	Wizard Spell	4	AD&D	Rare	Remains with the champion until dispelled. Champion and allies become flyers and swimmers. (Def/3/4)
Pegasus	AR	045	Ally	3	AD&D	Common	Flyer.
Windrider	AR	046	Ally	6	AD&D	Common	Flyer.
Erica of the Dark Watch	AR	047	Ally	7	AD&D	Common	Flyer.
Dimock the Sprite	AR	048	Ally	3	AD&D	Common	Flyer. Dimock fights invisibly and cannot be discarded or switch sides during battle for any reason.
Flying Carpet	AR	049	Magic Item	3	AD&D	Common	The champion can choose to be a flyer or non-flyer at the beginning of combat. (Def)
Ariel Anjelique	AR	050	Ally	5	AD&D	Common	Flyer. Ariel flies psionically and is immune to spells, allies, and events that harm other flyers.
Dragon Slayer	AR	051	Event		AD&D	Uncommon	All dragons in combat or in pools are immediately discarded.
Marilith, Tanar'ri	AR	052	Ally	7	AD&D	Common	The opposing player cannot play any events for the rest of this round of battle, including Calm.
Temporal Stasis	AR	053	Event		AD&D	Uncommon	In a multi-player game, this card can be played to prevent one player's turn. In a two-player game, this event can prevent an extra turn gained from another card, such as the Caravan.
Deflection	AR	054	Event		AD&D	Rare	When someone plays an event that affects only you, this card can deflect the effects of that event onto another player, chosen by you.
Help!	AR	055	Event		AD&D	Rare	Choose another player to defend your realm. You choose which champions are used. If he loses a round, his champion is discarded, he draws a card for each round he wins.
Reverse Gravity	AR	056	Wizard Spell		AD&D	Uncommon	All Flyers become non-flyers and vice versa until the beginning of this player's next turn. Swimmers and earthwalkers are unaffected by this card. (Off/3/4)
Shift Earth	AR	057	Cleric Spell		AD&D	Common	The player can freely rearrange his realms and holdings, but must fill from the top down. (Def/3)
Mirror Image	AR	058	Wizard Spell		AD&D	Uncommon	This spell doubles the caster's level. (Def/4)
Ethereality	AR	059	Cleric Spell		AD&D	Common	The champion can immediately elude an opposing cleric or hero, ending the round of battle. Both champions go back to their pools. (Def/4)
Prismatic Spray	AR	060	Wizard Spell	7	AD&D	Common	Opposing allies of level 4 or less are immediately discarded. (Off/4)
Treasure Vault	AR	061	Holding		AD&D	Rare	This holding can be attached to any realm. Any artifact of any world can be attached to this holding. Any champion defending the attached realm can use the artifact.
Tupillil	AR	062	Holding		AD&D	Common	This holding can be attached to any realm. When this holding is first played, all champions with the name 'Gib' are discarded.
Kestrel's Keep	AR	063	Holding		AD&D	Uncommon	This holding can be attached to any realm. Each of this player's champions and allies gain +1 when defending any realm. This holding stays attached and in play even if the attached realm is razed.
Keep of the Dead	AR	064	Holding		AD&D	Common	This holding can be attached to any realm. If something forces the attached realm to be discarded, this holding is discarded in place of the realm, and the realm stays in play.
Spellfire Citadel	AR	065	Holding		AD&D	Uncommon	This holding can be attached to any realm. This player can, at the end of each turn, rearrange his holdings. Holdings must still be attached to realms legally.
Fire Glyph	AR	066	Cleric Spell	2	AD&D	Rare	Hide under the lead realm, expose when the realm is attacked. Only one glyph can be placed under a realm, it is discarded after one use. The attacking champion cannot play allies in this round of battle. (Def/3)
Weakness Glyph	AR	067	Cleric Spell	1	AD&D	Uncommon	Hide under the lead realm, expose when the realm is attacked. Only one glyph can be placed under a realm, it is discarded after one use. The attacking champion's base level is a 1 for this round of battle. (Def/3)
Lightning Glyph	AR	068	Cleric Spell	4	AD&D	Rare	Hide under the lead realm, expose when the realm is attacked. Only one glyph can be placed under a realm, it is discarded after one use. The attacking champion must discard all attached magical items. (Def/3)
Curse Glyph	AR	069	Cleric Spell	3	AD&D	Uncommon	Hide under the lead realm, expose when the realm is attacked. Only one glyph can be placed under a realm, it is discarded after one use. An attacking champion with an attached magical item is defeated. (Def/3)
Death Glyph	AR	070	Cleric Spell	2	AD&D	Common	Hide under the lead realm, expose when the realm is attacked. Only one glyph can be placed under a realm, it is discarded after one use. An attacking champion without an attached artifact or magical item is defeated. (Def/3)
Dragon Turtle	AR	071	Monster	6	DL	Common	Swimmer, can attack any realm that shows coastline on the card.
Deathstream, Black Dragon	AR	072	Monster	7	DL	Common	Flyer, swimmer, can attack any realm that shows coastline on the card. One opponent's magical item is discarded. Deathstream can cast wizard spells.
Zielesch, Ancient Green Dragon	AR	073	Monster	9	GH	Uncommon	Swimmer, can attack any realm that shows coastline on the card. When Zielesch enters battle, the player can draw a card. If the card is usable, it can be played, otherwise, the card goes in to the player's hand.
Dregoth, undead Dragon-King	AR	074	Monster	10	DS	Rare	Undead flyer. Can cast any spell. Immune to psionics and offensive spells. If Dregoth attacks, his level drops to 6.
Korgunard the Avangion	AR	075	Monster	8	DS	Common	Flyer. Can cast wizard spells. Immune to psionic attack. Can be discarded to rebuild a razed realm.
Drawmij	AR	076	Wizard	7	GH	Uncommon	Swimmer, can attack any realm that shows coastline on the card. In battle, he can borrow any magical item in play, returning it when the round ends. Drawmij can imitate the power of any other wizard in play.
Klik-Ka'cha	AR	077	Cleric	7	DS	Common	When he enters battle as a defender, Klik can destroy one magical item in play anywhere.
Mykell, Amethyst Great Wyrm	AR	078	Monster	10	AD&D	Common	Dragon, flyer, swimmer, can attack any realm that shows coastline on the card. Can cast wizard spells. Mykell psionically destroys any one ally played against him in a round of battle.
Hornung the Anarch	AR	079	Wizard	6	GH	Common	Each spell cast by Hornung has a level equal to the card number's last digit. Hornung never need ask permission to cast a spell.
Invisible Stalker	AR	080	Monster	4	RL	Uncommon	The invisible stalker can also be played as a +4 ally to any champion able to cast spells. If the invisible stalker is on the losing side of a battle, it returns to the player's pool at the end of his next turn.
Erital Kaan-Ipzirel	AR	081	Cleric	7	GH	Common	This cleric of St. Cuthbert is immune to offensive spells and magical items. When in battle, she can choose to use a dimension door to return to her pool, ending the round of combat, if she does, all attached cards are discarded
Yagno Petrovna	AR	082	Cleric	8	RL	Common	When used in combat, this player can place any two cards from his opponent's discard on top of his draw pile.
Goldmoon	AR	083	Cleric	9	DL	Common	Once per turn, in any step, she may cast any cleric spell from an opponent's discard pile, and then place it on the top or bottom of his draw pile.
Princess Amber	AR	084	Hero	5	FR	Rare	Heroes cannot resist helping the princess. When entering battle, Amber can use any hero in play as an ally, after battle, win or lose, the hero returns to its owner's pool.
Darsson Spellmaker	AR	085	Wizard	7	FR	Common	When attacking or defending, Darsson can play any card as a defensive spell card, using the last digit of the card number as the spell's level.
Council Aerie	AR	086	Realm	9	FR	Uncommon	Dragon champions may defend this realm twice per turn. Opponent's dragons may not attack. Any holding may be attached to Council Aerie.
Shining Lands	AR	087	Realm		DL	Common	The Shining Lands can be attacked only by flyers or earthwalkers. The realm and its defending champions are immune to offensive spells. Any holding can be attached to the Shining Lands.
Bluet Spur	AR	088	Realm	6	RL	Uncommon	Cannot be attacked by flyers and can defend itself as a level 6 monster that can cast wizard spells. Any holding can be attached to Bluet Spur.
Hell Furnaces	AR	089	Realm		GH	Common	The level of any dragon defending the Hell Furnaces is doubled. Any holding can be attached to this realm.
Euripis	AR	090	Realm		DS	Common	Only champions able to cast spells can attack this realm. Any holding can be attached to Euripis.
New Giustenal	AR	091	Realm		DS	Common	Cannot be attacked by flyers, except Dregoth. If razed, this realm can be rebuilt by discarding only 1 card.
Ancient Kalidnay	AR	092	Realm		DS	Common	This realm is also considered a Ravenloft realm. This realm can be voluntarily razed by the player at the end of his turn, allowing the player to take another turn immediately.
Ur Draxa	AR	093	Realm		DS	Common	This player's champions are immune to psionic attacks. Champions with attached artifacts or magical items cannot attack this realm, although they can be added during battle.
Shault	AR	094	Realm	6	DS	Common	Shault can be attacked only by monsters or flyers. The city can defend itself as any type of level 6 champion, chosen by the player when attacked.
The Forest Ridge	AR	095	Realm		DS	Common	If the Forest Ridge is razed by an attacking champion, feral halflings eat the winning champion, causing the card (and any possessions) to be discarded.
Celik	AR	096	Realm		DS	Rare	Any champion attacking Celik, must discard all attached magical items or artifacts, and cannot add more during battle.
Lake Island	AR	097	Realm	5	DS	Common	Can be attacked only by flyers or earthwalkers. Lake Island defends itself as a level 5 monster.
Year of Plenty	AR	098	Event		AD&D	Common	No events can be played, including Calm, until the end of this player's next turn.
Thought Eater	AR	099	Ally	-2	AD&D	Common	Prevents all special powers and spell casting ability of the opponent's champion, allies, spells, and magical items.
Deja Vu	AR	100	Cleric Spell		AD&D	Uncommon	Take any three cards from an opponent's discard pile and place them on top of his draw pile. (Off/3)
Mace of Cuthbert	ARSP	001	Artifact	5	GH	Special	The level bonus (if any) of each opponent's spell is reduced by 2. Undead cannot be used against the attached champion. The Mace is discarded when the attached champion enters battle against luz.
Death Rock	ARSP	002	Artifact		RL	Special	When a champion of this player dies in battle, a champion with this artifact can keep the dead champion as an undead +2 ally without special powers. These allies return to the pool with a winning champion.
Psychometron of Nerad	ARSP	003	Artifact		DS	Special	The attached champion is immune to psionics. When the attached champion is discarded, the Psychometron psionically destroys one other champion.
Silencer of Bodach	ARSP	004	Artifact	6	DS	Special	If the attached champion is defeated in battle, all of one other player's holdings are discarded. If one of this player's realms is attacked, the attached champion must be used first in defense.
Barab's Goblet of Dissolution	ARSP	005	Artifact		AD&D	Special	This artifact can be attached to any champion. When the champion with this item is defeated, the winning champion is sent to the Abyss, permanently removed from play.
Onad the Weasel	ARSP	006	Wizard	7	GH	Special	Onad can imitate the effects of any event, by being discarded just after that event is played. The use of Onad in this manner is secondary to the use of the actual event.
Lord Blacktree	ARSP	007	Hero	8	FR	Special	At the beginning of a battle, Lord Blacktree can imitate the powers of any single realm or holding in play. Only powers usable during a round of battle can be imitated.
Young Strahd	ARSP	008	Hero	7	AD&D	Special	Can cast wizard spells. While in play, all Ravenloft champions except Strahd Von Zarovich are turned face down and cannot act. Must defend if Strahd Von Zarovich attacks.
Killian	ARSP	009	Wizard	8	AD&D	Special	Immune to offensive spells. This swashbuckler is the captain of a ship, he and his allies are considered swimmers and can attack any coastal realm.
Ghostly Piper	ARSP	010	Monster	8	RL	Special	Undead. This spectral bagpiper can cast wizard spells. He and any attached cards are immune to the special powers of allies.
Forbiddance	ARSP	011	Cleric Spell		AD&D	Special	No attack can be made against any of this player's realms until after this player's next turn. (Def/5)
Bigby's Clenched Fist	ARSP	012	Wizard Spell		AD&D	Special	This spell summons a magical fist as a +4 ally. The fist can cause one enemy ally to be discarded. (Off/4)
Fire Charm	ARSP	013	Wizard Spell		AD&D	Special	The special power of an opposing champion or ally is neutralized until the end of the current battle. (Off/4)
Thunder Staff	ARSP	014	Wizard Spell	4	AD&D	Special	When this spell is played, all the opponent's allies are discarded. (Off/4)
Spectral Hand	ARSP	015	Wizard Spell	4	AD&D	Special	This spell can be cast by a champion in the pool to aid a champion in battle. After casting it, the champion in the pool can cast other spells into the same round of battle. (Off/4)
Ariel's Feather Charm	ARSP	016	Magic Item	5	AD&D	Special	The attached champion becomes an agile flyer. The champion is not affected by cards that normally cause harm specifically to flyers. (Def)
Amulet of Spell Protection	ARSP	017	Magic Item	5	AD&D	Special	The attached champion is immune to offensive spells. If this item is in the pool when a spell is cast, the amulet can be discarded to prevent the effects of the spell. (Def)
Amerlior's Restraint	ARSP	018	Magic Item		AD&D	Special	Before battle, choose one opponent's champion that champion's special abilities are negated until the end of your turn. (Off)
Smoke Powder Pistol	ARSP	019	Magic Item	5	AD&D	Special	When this card is used in battle, flip one card from the opponent's draw pile. The last digit of that card's number is an additional bonus for the attached champion. (Off)
Dragon Font	ARSP	020	Magic Item		AD&D	Special	Draw one less card than usual when beginning your turn. In addition, look at the bottom 5 cards in your draw pile. Place one in your hand and return the others to the bottom of the draw pile. (Def)
Adjatha, the Spell Drinker	PO	001	Magic Item	2	AD&D	Uncommon	Cannot be attached to a wizard or cleric. For one round of battle, Adjatha drains all magical items of the opposing champion, rendering the useless. Add +2 to Adjatha for each item drained. (Off)
Abhorrence of Shapechangers	PO	002	Magic Item	3	AD&D	Rare	Cannot be used by monsters. Against all shapechangers (werebeasts, Strahd von Zarovich, and the Kargat Vampire) Abhorrence becomes a +7 weapon. (Def)
Sword of the Avoreen	PO	003	Magic Item	1	AD&D	Rare	Cannot be used by monsters. This sword automatically defeats giant champions, and it reduces opposing undead and werebeasts to level 0. (Off)
Sword of Blackflame	PO	004	Magic Item	4	AD&D	Uncommon	During battle, the Sword of Blackflame reflects all spells back at the caster. Can be played in combat to reflect a spell just cast. (Def)
Sword of the High King	PO	005	Magic Item	4	AD&D	Rare	Cannot be used by monsters. In battle, this mighty weapon causes fear. The opposing champion becomes level 1, and his allies are each reduced to a +1 bonus. (Off)
Dragonsbane	PO	006	Magic Item	6	AD&D	Uncommon	During battle, Dragonsbane destroys all dragons. (Off)
Post-Hypnotic Suggestion	PO	007	Psionic Power	2	AD&D	Common	Psionic power. Usable by psionicist champions. If the psionic champion with this power is defeated, the opposing champion may not attack this player's realms for the rest of the game.
Sword of the Black Rose	PO	008	Magic Item	3	AD&D	Rare	Only usable by monster champions. This sword becomes a +7 weapon when used by an undead champion or werebeast. (Off)
Davron Parscall	PO	009	Psionicist	9	DS	Uncommon	Psionicist Champion,can use psionic power cards. Davron's psionic Death Field can destroy the opposing champion automatically. Davron is sent to the Abyss (taken out of play) if the power is used.
Yorgia Sandow	PO	010	Psionicist	3	DS	Common	Psionicist Champion,can use psionic power cards. Discard on magical item from your pool to activate Yorgia's Metamorphosis, allowing her to imitate the power of any monster in play and add its level to her own.
Roghal Baen	PO	011	Psionicist	8	DS	Uncommon	Psionicist Champion,can use psionic power cards. When used in defense, Roghal can employ his Precognition, forcing the attacker to lay face up all cards he intends to use in this battle. The attacker can use only those cards.
